Part Name,Ref Des,Var Status,Qty,PART_NUMBER,DESCRIPTION,MFG_PN,MANUFACTURER,PRT_NUMBER
"RES_PHOENIX_0201-0R,JUMPER,1/20W,NTPXG, RC0201JR-070RL","R39_F1_DIG0, R40_F1_DIG0, R67_F0_DIG0, R75_F0_DIG0",Pref,4,NTPXG,?, RC0201JR-070RL,?,NTPXG
"RES_PHOENIX_0402-0R,JUMPER,1/16W,K5TR2,RC0402JR-070RL","R1_DIG0, R2_CG, R3_CG, R16_F1_DIG0, R21_DIG0, R23_DIG0, R24_CG, R25_CG, R27_CG, R28_DIG0, R30_CG, R30_F0_DIG0, R38_DIG0, R38_F1_DIG0, R40_CG, R40_DIG0, R43_DIG0, R44_F1_DIG0, R45_F0_DIG0, R45_F1_DIG0, R47_DIG0, R47_F0_DIG0, R47_F1_DIG0, R48_DIG0, R49_F0_DIG0, R49_F1_DIG0, R50_CG, R51_F0_DIG0, R51_F1_DIG0, R53_DIG0, R53_F0_DIG0, R53_F1_DIG0, R54_F0_DIG0, R54_F1_DIG0, R55_DIG0, R55_F0_DIG0, R55_F1_DIG0, R56_DIG0, R57_F0_DIG0, R59_DIG0, R60_DIG0, R61_DIG0, R63_DIG0, R65_DIG0, R65_F0_DIG0, R66_DIG0, R69_DIG0, R70_DIG0, R71_DIG0, R72_DIG0, R80_DC1, R81_DC1, R88_DC1, R89_DC1",Pref,54,K5TR2,?,RC0402JR-070RL,?,K5TR2
"RES_PHOENIX_0402-1.5K,1%,1/16W,JHNY5,RC0402FR-071K5L","R104_DC1, R106_DC1",Pref,2,JHNY5,?,RC0402FR-071K5L,?,JHNY5
"RES_PHOENIX_0402-10K,0.1%,1/16W,PM9KF,CPF0402B10KE1","R98_DC1, R120_DC1",Pref,2,PM9KF,?,CPF0402B10KE1,?,PM9KF
"RES_PHOENIX_0402-160R,1%,1/16W,YNT60,CRCW0402160RFKED","R70_F0_DIG0, R70_F1_DIG0, R71_F0_DIG0, R71_F1_DIG0",Pref,4,YNT60,?,CRCW0402160RFKED,?,YNT60
"RES_PHOENIX_0402-1K,1%,1/16W,5KNJ5,RC0402FR-071KL","R1_CG, R3_DIG0, R7_DIG0, R8_F0_DIG0, R9_F0_DIG0, R17_F1_DIG0, R22_DIG0, R23_F1_DIG0, R25_DIG0, R26_CG, R27_DIG0, R28_CG, R29_CG, R29_DIG0",Pref,14,5KNJ5,?,RC0402FR-071KL,?,5KNJ5
"RES_PHOENIX_0402-1K24,1%,1/16W,W9YPD,RC0402FR-071K24L",R35_CG,Pref,1,W9YPD,?,RC0402FR-071K24L,?,W9YPD
"RES_PHOENIX_0402-1K58,1%,1/10W,UP057,RK73H1ETTP1581F","R56_DC1, R76_DC1,R11_DIG0, R15_DIG0, R17_DIG0,R119_M0",Pref,6,UP057,?,RK73H1ETTP1581F,?,UP057
"RES_PHOENIX_0402-200R,1%,1/10W,GW7MK,RK73H1ETTP2000F","R9_DIG0, R13_DIG0",Pref,2,GW7MK,?,RK73H1ETTP2000F,?,GW7MK
"RES_PHOENIX_0402-20K,1%,1/16W,1W043,RC0402FR-0720KL",R22_DC1,Pref,1,1W043,?,RC0402FR-0720KL,?,1W043
